DTXSID,SMILES
DTXSID00348353,FC(F)(F)C(F)(F)C1=C(C(F)(F)C(F)(F)F)C2(C(F)(F)C(F)(F)F)C(C(F)(F)C(F)(F)F)=C(C(F)(F)C(F)(F)F)N12
DTXSID00365621,O=C(O)c1ccccc1NC(=O)C(F)(F)C(F)(F)C(F)(F)F
DTXSID00366012,Nc1ccc(SC(F)(F)C(F)(F)C(F)(F)F)cc1
DTXSID0036926,FC(F)(F)C1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C1(F)F
DTXSID00369341,O=C(O)C(O)(C(F)(F)F)C(F)(F)F
DTXSID00369821,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(=O)O
DTXSID00369826,OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
DTXSID00370992,C=CCOCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
DTXSID00371101,O=S(=O)(OCC(F)(F)C(F)(F)C(F)(F)C(F)F)OCC(F)(F)C(F)(F)C(F)(F)C(F)F
DTXSID00371222,O=C(O)C(F)(F)C(F)(Br)C(F)(F)Cl
DTXSID00371227,CCCCC=CC(F)(Cl)C(F)(F)Br
DTXSID00371287,FC(F)(F)C(F)(F)C(F)(F)C(C=CBr)(C(F)(F)F)C(F)(F)F
DTXSID00371303,FC1(F)C(F)(F)C(F)(F)C(F)(Br)C(F)(F)C1(F)F
DTXSID00371323,O=C(Cl)C(F)(Br)C(F)(F)F
DTXSID00371601,FC(F)(Br)C(F)(F)C(F)(F)C(F)(F)Br
DTXSID00371606,C=C(Br)C(F)(F)C(F)(F)Br
DTXSID00375104,C=CC(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
DTXSID00375109,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)[I+]c1ccccc1.O=S(=O)([O-])C(F)(F)F
DTXSID00377688,COC(=O)C(F)(F)OC(F)(F)C(F)(F)OC(F)(F)C(F)(F)OC(F)(F)F
DTXSID00377825,O=C(OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
DTXSID00378852,FC(F)(Cl)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl
DTXSID00379248,O=C(O)CCC(C(F)(F)F)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F
DTXSID00379268,O=C(O)CCC(F)(F)C(F)(F)C(F)(F)F
DTXSID00379288,FC(F)(F)C(F)(F)C(F)(F)[C@H]1CCCC[C@H]1I
DTXSID00379546,COC(=O)C(F)(F)C(F)(F)C(F)F
DTXSID00379561,COC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
DTXSID00379566,COC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
DTXSID00379703,OCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F
DTXSID00379728,O=C(Cl)C(F)(F)C(F)(F)C(F)(F)C(F)F
DTXSID00379748,Oc1ccc(OC(F)(F)C(F)(F)F)cc1
DTXSID00379783,C=C(C)C(=O)OCC1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F
DTXSID00379829,O=C(Cl)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F
DTXSID00379864,FC(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)I
DTXSID00379884,FC(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)CC1CO1
DTXSID00379925,O=C(Cl)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
DTXSID00379960,OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F
DTXSID00379980,CC(C)C(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
DTXSID00380031,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
DTXSID00380056,OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
DTXSID00380197,Nc1ccc2c(c1)OC(F)(F)C(F)(F)O2
DTXSID00380213,O=C(F)C(F)(F)C(F)(F)C(=O)F
DTXSID00380273,FC1(F)C(F)(F)C(Br)(Br)C1(F)Br
DTXSID00380278,C=C(Cl)C(F)(Cl)C(F)(F)Cl
DTXSID00380753,C[Si](C)(C)OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
DTXSID00380798,OCC(F)(F)OC(F)(F)C(F)(F)OC(F)(F)C(F)(F)OC(F)(F)CO
DTXSID00380854,C=CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)CC=C
DTXSID00381048,FC(F)C(F)(F)COC(F)(Br)C(F)(Br)C(F)(F)F
DTXSID00381422,NCC(F)(F)C(F)(F)C(F)(F)C(F)(F)CN
DTXSID00382070,OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
DTXSID00382111,O=C(O)C(F)(F)C(F)(F)Cl
DTXSID00382116,O=C(Br)C(F)(Cl)C(F)(F)F
DTXSID00382136,C=C(F)C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F
DTXSID00382151,C[Si](C)(C)OS(=O)(=O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)F
DTXSID00382156,COC(=O)CC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)F
DTXSID00382171,OCCC(F)(C(F)(F)F)C(F)(F)F
DTXSID00382353,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CC[Si](Cl)(Cl)Cl
DTXSID00395302,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)c1ccc(P(c2ccc(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc2)c2ccc(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc2)cc1
DTXSID00395680,C=CCOCC(F)(F)C(F)(F)F
DTXSID00399941,C=COS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
DTXSID00404882,O=C(NCCO)C(F)(F)C(F)(F)C(F)(F)F
DTXSID00408562,O=C(O)C(F)(F)OC(F)(F)F
DTXSID00409751,O=C([O-])c1ccc(NC(=O)C(F)(F)C(F)(F)OC(F)(F)F)cc1
DTXSID0041226,FC(F)(Br)C(F)(F)Br
DTXSID0041696,O=C(F)C(F)(F)C(F)(F)C(F)(F)F
DTXSID00430848,O=C(O)c1ccc(OCC(F)(F)C(F)(F)F)cc1O
DTXSID00430904,FC1C(F)C(F)C(C(F)(F)C(F)(F)C(F)(F)F)C(F)C1F
DTXSID00437731,O=C(OOC(=O)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F
DTXSID00438405,[N-]=[N+]=NCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
DTXSID00441939,NS(=O)(=O)c1nnc(NS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)s1
DTXSID00442840,O=S(=O)(OCCOC(F)(F)F)C(F)(F)F
DTXSID00446247,OC(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
DTXSID00446989,O=S(=O)(C(F)(F)F)C(F)(C(F)(F)F)C(F)(F)F
DTXSID00447673,CCOC(=O)CC(F)(F)C(F)(F)F
DTXSID00448605,FC1=C(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C1(F)F
DTXSID00448983,FC(F)(Cl)C(F)(F)C(F)(F)C(F)(F)c1ccc[nH]1
DTXSID00449435,FC(F)(F)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)I
DTXSID00451977,O=S(=O)(OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F
DTXSID00452227,N#CC1=C(N)C(F)(F)C(F)(F)C(F)(F)C1=N
DTXSID00453592,O=C(O)C(F)(F)OC(F)(F)C(F)(F)S(=O)(=O)F
DTXSID00454443,FC(F)(F)C(=C1C(F)(F)C(F)(F)C1(F)F)C(F)(F)F
DTXSID00458188,COC(=O)c1ccc(OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1
DTXSID00458749,O=C1C(F)(F)C(F)(F)C(F)(F)C1(F)F
DTXSID00459211,O=C(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl
DTXSID00468500,COc1ccc(C(Cl)(c2ccc(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc2)c2ccc(OC)cc2)cc1
DTXSID00469991,FC=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
DTXSID00471251,O=C(CBr)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
DTXSID00471973,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1CO1
DTXSID0047329,NC(=O)c1nc(-c2cccc(-c3cc(F)ccc3OCC(F)(F)C(F)(F)F)c2)n[nH]1
DTXSID0047583,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)I
DTXSID00476261,FC(F)(F)C(F)(F)COCC1CO1
DTXSID00479232,CCOP(=O)(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)OCC
DTXSID00485237,Oc1ccc(C(F)(F)C(F)(F)C(F)(F)F)cc1
DTXSID00490109,Nc1ccc(OC(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1
DTXSID00500752,C=Cc1ccc(OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F)cc1
DTXSID00501188,FC(F)(F)C(F)(F)C1(F)OC1(F)C(F)(F)F
DTXSID00502195,FC(F)C(F)(F)C1(F)OC1(F)F
DTXSID00502610,O=C(F)C(F)(F)C(F)(F)C(F)(F)I
DTXSID00503607,N#CCS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
DTXSID00503960,FC(F)C(F)(F)C(F)(F)C(F)(F)COCl
DTXSID00505883,O=C=C(C(=O)C(F)(F)C(F)(F)F)C(F)(F)F
DTXSID00507044,O=C(c1cc(Br)cc(Br)c1)C(F)(F)C(F)(F)C(F)(F)F
DTXSID00507266,FC1=NC(F)(F)C(F)(F)C(F)=C1F
DTXSID00507665,O=S(Cl)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F
DTXSID00508475,CC(C)C(=O)C(F)(C(F)(F)F)C(F)(F)F
DTXSID00508894,COC(F)(C(=C(F)F)C(F)(F)F)C(F)(F)C(F)(F)F
DTXSID00512037,COC(=O)c1cccc(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c1
DTXSID00513443,FC1=C(F)C2(F)C=CC1(F)C2(F)F
DTXSID00516671,O=C(c1ccccc1)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(=O)c1ccccc1
DTXSID00519223,FC1=C(C(F)(F)F)C(F)(F)C(F)(F)C(Cl)C1(F)F
DTXSID00520071,FC(F)=NC(F)(F)C(F)(Cl)Br
DTXSID00521321,O=S(=O)(Cl)C(F)(F)C(F)(F)OC(F)(F)C(F)F
DTXSID00522414,COC(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl
DTXSID00523502,O=C1C(F)=C(F)C(F)=C(F)C(F)(F)C1(F)F
DTXSID00524433,FC(F)(c1ccccc1)C(F)(F)C(F)(F)c1ccccc1
DTXSID00524736,O=c1[nH]c2ccccc2nc1C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
DTXSID00525001,C[Si](C)(C)OCC(F)(F)C(F)(F)F
DTXSID00525021,Fc1c(F)c(F)c2c(c1F)C(F)(F)C(F)(Br)C2(F)F
DTXSID00525026,COC(=O)CC(=O)C(F)(F)C(F)(F)C(F)(F)F
DTXSID00526457,O=C(NO)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
DTXSID00526477,FC(=C(C(F)(F)F)C(F)(F)F)C(F)(N1CCCC1)C(F)(F)F
DTXSID00527449,OC(CSc1ccccc1)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
DTXSID00529463,FC(F)(F)C(F)(F)N(Br)Br
DTXSID00529605,Cc1ccc(C(CS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)Sc2ccccc2)cc1
DTXSID00530519,FC(F)(Cl)C(F)(F)C(F)(F)C(F)(F)Br
DTXSID00531243,FC(F)(F)C(F)(F)n1sssn1C(F)(F)C(F)(F)F
DTXSID00531248,FC(F)(F)N1C(Br)(Br)N(C(F)(F)F)C(F)(F)C1(F)F
DTXSID00534794,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)c1cn[nH]c1
DTXSID00535640,O=C(CCc1ccccc1)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
DTXSID00537942,CCO[Si](OCC)(OCC)C1CC(F)(F)C1(F)F
DTXSID00542591,CN(C)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F
DTXSID00542617,FC(F)(F)OC(F)(F)C(F)(F)OC(F)(F)C(F)(F)OC(F)(F)C(F)(F)OC(F)(F)F
DTXSID00544671,FC(F)(F)C(F)(OC(F)(F)C(F)(F)C(F)(F)C(F)(F)I)C(F)(F)F
DTXSID00544914,FC(F)(F)C(F)(F)C(F)(F)[C](F)(F)[Cu]
DTXSID00545628,FC(F)C(F)(F)C(F)(F)I
DTXSID00546236,O=C(O)C#CC(F)(F)C(F)(F)C(F)F
DTXSID00548578,FC1(F)C2CC2C1(F)F
DTXSID00548770,CCOC(=O)C(F)(F)C(F)(F)C(=O)F
DTXSID00551729,OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
DTXSID00551769,COC(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
DTXSID00552019,FC1(F)OC2(OC1(F)F)OC(F)(F)C(F)(F)O2
DTXSID00552276,C=CCOCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F
