DTXSID,SMILES,risk_score,seed_label
DTXSID10893369,Nc1cccc(C(O)=Nc2c(O)c(F)c(F)c(C(c3c(F)c(F)c(O)c(N=C(O)c4cccc(N)c4)c3F)(C(F)(F)F)C(F)(F)F)c2F)c1,0.9999995511612015,-1
DTXSID20896462,Cc1cc(C(F)(C(F)(F)F)C(F)(F)F)cc(C)c1NC(=O)c1cccc(NC(=O)c2c(F)c(F)c(F)c(F)c2F)c1,0.9999995497298967,-1
DTXSID90896459,Cc1cc(C(F)(C(F)(F)F)C(F)(F)F)cc(C)c1NC(=O)c1cccc(NC(=O)c2c(F)ccc(F)c2F)c1,0.9999995485076676,-1
DTXSID60896461,Cc1cc(C(F)(C(F)(F)F)C(F)(F)F)cc(C)c1NC(=O)c1cccc(NC(=O)c2ccc(Cl)cc2F)c1F,0.9999995485076676,-1
DTXSID30896458,Cc1cc(C(F)(C(F)(F)F)C(F)(F)F)cc(C)c1NC(=O)c1c(F)ccc(NC(=O)c2ccccc2)c1F,0.999999468105041,-1
DTXSID70896457,Cc1cc(C(F)(C(F)(F)F)C(F)(F)F)cc(C)c1NC(=O)c1ccc(F)c(NC(=O)c2ccc(F)cc2F)c1,0.9999993532262463,-1
DTXSID10896456,Cc1cc(C(F)(C(F)(F)F)C(F)(F)F)cc(C)c1NC(=O)c1cccc(NC(=O)c2ccc(Cl)cc2Cl)c1,0.9999993532262463,-1
DTXSID3070882,CN(C)CCCNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.Cl,0.9999992706160686,-1
DTXSID00881275,CN(C)CCC[NH2+]S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Cl-],0.999999244961379,-1
DTXSID6071906,CN(C)CCCNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.Cl,0.9999982700473012,-1
DTXSID40896641,CN(CCCNC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)CCCS(=O)(=O)[O-].[Na+],0.9999981845498699,-1
DTXSID10379911,C=C(C)C(=O)OCC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.9999974096572808,1
DTXSID50896455,Cc1cc(C(F)(C(F)(F)F)C(F)(F)F)cc(C)c1NC(=O)c1cccc(NC(=O)c2cc(F)ccc2F)c1,0.9999960755485017,-1
DTXSID10896451,Cc1cc(C(F)(C(F)(F)F)C(F)(F)F)cc(C)c1NC(=O)c1cccc(NC(=O)c2ccc(F)cc2F)c1,0.9999960755485017,-1
DTXSID30897526,FC(F)(F)[C@]1(F)C(F)(F)[C@](F)(C(F)(F)F)C1(F)F,0.9999958202940382,-1
DTXSID60620167,NC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.9999958202940382,-1
DTXSID50379874,FC(F)(F)C1(I)C(F)(F)C(F)(F)C(F)(F)C1(F)F,0.9999958202940382,-1
DTXSID60338639,FC(F)(F)C1(Br)C(F)(F)C(F)(F)C(F)(F)C1(F)F,0.9999958202940382,-1
DTXSID60955229,FC1(F)C(F)(F)C(F)(F)C(F)(Br)C(F)(Br)C1(F)F,0.9999958202940382,-1
DTXSID00371303,FC1(F)C(F)(F)C(F)(F)C(F)(Br)C(F)(F)C1(F)F,0.9999958202940382,-1
DTXSID70374765,FC1(F)C(F)(F)C(F)(F)C(F)(I)C(F)(F)C1(F)F,0.9999958202940382,-1
DTXSID5075232,FC1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,0.9999958202940382,-1
DTXSID50880359,FC(F)(F)[C@]1(F)C(F)(F)[C@@](F)(C(F)(F)F)C1(F)F,0.9999958202940382,-1
DTXSID40832160,FC1(F)C(F)(F)C(F)(Br)C(F)(F)C(F)(F)C1(F)Br,0.9999958202940382,-1
DTXSID70897525,FC(F)(F)C1(C(F)(F)F)C(F)(F)C(F)(F)C1(F)F,0.9999958202940382,-1
